,PageViewsNonEnglish,birthcity,birthyear,continentName,countryCode,countryCode3,countryName,domain,en_curid,gender,industry,latitude,longitude,name,occupation
0,24667975,Hodgenville,1809,North America,US,USA,United States,INSTITUTIONS,307,Male,GOVERNMENT,37.6,-85.7,Abraham Lincoln,POLITICIAN
1,40609821,Stageira,-384,Europe,GR,GRC,Greece,HUMANITIES,308,Male,PHILOSOPHY,40.5,23.8,Aristotle,PHILOSOPHER
2,3184728,Saint Petersburg,1905,Europe,RU,RUS,Russia,HUMANITIES,339,Female,LANGUAGE,59.9,30.3,Ayn Rand,WRITER
3,4890142,Las Vegas,1970,North America,US,USA,United States,SPORTS,595,Male,INDIVIDUAL SPORTS,36.2,-115.1,Andre Agassi,TENNIS PLAYER
4,4131664,Surrey,1894,Europe,GB,GBR,United Kingdom,HUMANITIES,628,Male,LANGUAGE,51.3,-0.5,Aldous Huxley,WRITER
6,8879679,Gdańsk,1788,Europe,PL,POL,Poland,HUMANITIES,700,Male,PHILOSOPHY,54.4,18.6,Arthur Schopenhauer,PHILOSOPHER
7,55494636,Ulm,1879,Europe,DE,DEU,Germany,SCIENCE & TECHNOLOGY,736,Male,NATURAL SCIENCES,48.4,10.0,Albert Einstein,PHYSICIST
8,28415561,Pella,-356,Europe,GR,GRC,Greece,INSTITUTIONS,783,Male,MILITARY,40.8,22.5,Alexander the Great,MILITARY PERSONNEL
9,12720422,Leytonstone,1899,Europe,GB,GBR,United Kingdom,ARTS,808,Male,FILM AND THEATRE,51.6,0.0,Alfred Hitchcock,FILM DIRECTOR
10,8151317,Hajdúböszörmény,406,Europe,HU,HUN,Hungary,INSTITUTIONS,841,Male,GOVERNMENT,47.7,21.5,Attila the Hun,POLITICIAN
11,7637869,Stockholm,1833,Europe,SE,SWE,Sweden,SCIENCE & TECHNOLOGY,851,Male,NATURAL SCIENCES,59.3,18.1,Alfred Nobel,CHEMIST
12,9545835,Edinburgh,1847,Europe,GB,GBR,United Kingdom,SCIENCE & TECHNOLOGY,852,Male,INVENTION,56.0,-3.2,Alexander Graham Bell,INVENTOR
